group,order,char,time,pc1,pc2
组12,排06,友,6,-118.961914,130.13028
组12,排06,复,6,-113.02324,138.42358
组12,排06,言,6,-113.02324,138.42358
组13,排01,哪,1,-79.628174,25.115463
组13,排01,认,1,-85.685776,30.240149
组13,排01,行,1,-85.685776,30.240149
组13,排02,哪,2,158.45302,-88.021255
组13,排02,行,2,153.2835,-94.83184
组13,排02,认,2,153.2835,-94.83184
组13,排03,认,3,124.44149,-133.04155
组13,排03,哪,3,124.44149,-133.04155
组13,排03,行,3,130.17375,-140.98969
组13,排04,认,4,166.20201,-99.134
组13,排04,行,4,166.20201,-99.134
组13,排04,哪,4,166.20201,-99.134
组13,排05,行,5,135.47723,-131.12398
组13,排05,哪,5,135.47723,-131.12398
组13,排05,认,5,135.47723,-131.12398
组13,排06,行,6,-67.58275,45.311844
组13,排06,认,6,-69.3672,37.95828
组13,排06,哪,6,-75.03416,43.502903
组14,排01,它,1,42.653225,32.074528
组14,排01,取,1,42.653225,32.074528
组14,排01,无,1,35.803913,27.974771
组14,排02,它,2,56.653816,153.37254
组14,排02,无,2,56.653816,153.37254
组14,排02,取,2,56.653816,153.37254
组14,排03,取,3,23.182516,-20.606276
组14,排03,它,3,23.799835,-12.705995
组14,排03,无,3,30.845827,-16.374872
组14,排04,取,4,57.803974,163.8625
组14,排04,无,4,48.93115,162.26099
组14,排04,它,4,46.07041,153.751
组14,排05,无,5,34.790768,-28.305103
组14,排05,它,5,34.790768,-28.305103
组14,排05,取,5,27.363562,-31.877611
组14,排06,无,6,41.37618,14.695745
组14,排06,取,6,47.535828,10.069729
组14,排06,它,6,48.790688,17.641855
组15,排01,边,1,-71.88524,97.80256
组15,排01,风,1,-71.88524,97.80256
组15,排01,要,1,-71.88524,97.80256
组15,排02,边,2,-19.74492,156.77472
组15,排02,要,2,-19.74492,156.77472
组15,排02,风,2,-19.74492,156.77472
组15,排03,风,3,-63.57417,71.43948
组15,排03,边,3,-71.89679,70.90418
组15,排03,要,3,-69.23484,78.56902
组15,排04,风,4,-8.955279,155.71844
组15,排04,要,4,-8.955279,155.71844
组15,排04,边,4,-8.955279,155.71844
组15,排05,要,5,-60.30802,83.21945
组15,排05,边,5,-52.14577,84.54694
组15,排05,风,5,-54.637745,76.51444
组15,排06,要,6,-67.65051,108.426575
组15,排06,风,6,-60.43477,99.40723
组15,排06,边,6,-59.10837,107.664894
组16,排01,交,1,-17.099632,109.29553
组16,排01,息,1,-17.099632,109.29553
组16,排01,包,1,-17.099632,109.29553
组16,排02,交,2,-155.10889,87.67402
组16,排02,包,2,-155.10889,87.67402
组16,排02,息,2,-155.10889,87.67402
组16,排03,息,3,-56.7081,166.92479
组16,排03,交,3,-56.7081,166.92479
组16,排03,包,3,-56.7081,166.92479
组16,排04,息,4,-164.8851,81.72087
组16,排04,包,4,-164.8851,81.72087
组16,排04,交,4,-164.8851,81.72087
组16,排05,包,5,-55.405613,177.97281
组16,排05,交,5,-55.405613,177.97281
组16,排05,息,5,-55.405613,177.97281
组16,排06,包,6,-27.26795,104.43154
组16,排06,息,6,-27.428705,114.066696
组16,排06,交,6,-27.428705,114.066696
组17,排01,指,1,-47.32727,-41.583824
组17,排01,达,1,-55.264645,-39.846478
组17,排01,也,1,-55.264645,-39.846478
组17,排02,指,2,43.152084,-135.90617
组17,排02,也,2,43.152084,-135.90617
组17,排02,达,2,43.152084,-135.90617
组17,排03,达,3,-68.96003,-48.618954
组17,排03,指,3,-76.42418,-52.529686
组17,排03,也,3,-68.96003,-48.618954
组17,排04,达,4,51.55026,-142.55803
组17,排04,也,4,53.267303,-132.43459
组17,排04,指,4,51.55026,-142.55803
组17,排05,也,5,-62.591347,-63.301094
组17,排05,指,5,-62.591347,-63.301094
组17,排05,达,5,-70.85288,-65.41884
组17,排06,也,6,-46.021137,-64.18975
组17,排06,达,6,-48.97259,-56.618065
组17,排06,指,6,-40.94897,-57.60665
组18,排01,收,1,-28.173653,56.003387
组18,排01,深,1,-30.865273,63.74274
组18,排01,她,1,-38.68451,60.32507
组18,排02,收,2,85.18319,-176.70053
组18,排02,她,2,85.18319,-176.70053
组18,排02,深,2,85.18319,-176.70053
组18,排03,深,3,30.644016,-102.382805
组18,排03,收,3,30.644016,-102.382805
组18,排03,她,3,22.3583,-105.7783
组18,排04,深,4,95.76849,-174.5327
组18,排04,她,4,83.84659,-165.97281
组18,排04,收,4,92.462135,-166.53444
组18,排05,她,5,25.190891,-91.905716
组18,排05,收,5,17.583797,-96.22045
组18,排05,深,5,25.190891,-91.905716
组18,排06,她,6,-29.564463,47.033707
组18,排06,深,6,-38.02252,50.64201
组18,排06,收,6,-38.02252,50.64201
组19,排01,力,1,181.462,58.58344
组19,排01,英,1,181.462,58.58344
组19,排01,斯,1,181.462,58.58344
组19,排02,力,2,192.0002,76.067924
组19,排02,斯,2,192.0002,76.067924
组19,排02,英,2,192.0002,76.067924
组19,排03,英,3,173.49626,96.43301
组19,排03,力,3,173.49626,96.43301
组19,排03,斯,3,173.49626,96.43301
组19,排04,英,4,188.72945,86.35377
组19,排04,斯,4,181.25067,78.89205
组19,排04,力,4,181.25067,78.89205
组19,排05,斯,5,157.06068,95.69471
组19,排05,力,5,157.06068,95.69471
组19,排05,英,5,157.06068,95.69471
组19,排06,斯,6,165.50856,50.730385
组19,排06,英,6,163.0738,58.43183
组19,排06,力,6,163.0738,58.43183
组20,排01,每,1,131.63983,-6.768118
组20,排01,为,1,131.63983,-6.768118
组20,排01,让,1,131.63983,-6.768118
组20,排02,每,2,-56.028915,5.998233
组20,排02,让,2,-56.028915,5.998233
组20,排02,为,2,-56.028915,5.998233
组20,排03,为,3,105.7184,8.326897
组20,排03,每,3,105.7184,8.326897
组20,排03,让,3,105.7184,8.326897
组20,排04,为,4,-62.970894,-2.235598
组20,排04,让,4,-62.970894,-2.235598
组20,排04,每,4,-62.970894,-2.235598
组20,排05,让,5,91.50808,2.7813098
组20,排05,每,5,96.473015,-3.8570063
组20,排05,为,5,96.473015,-3.8570063
组20,排06,让,6,134.17715,-20.133701
组20,排06,为,6,141.87187,-15.694386
组20,排06,每,6,141.32872,-23.660286
